"ID","AIC_lm2","AIC_lm3","AIC_HollT2"
39835,-94.7167310713803,-85.3833977380469,-97.9200912108778
39836,-176.428102584977,-183.851427200844,-193.414497153937
39837,-164.961156544781,-160.367043019496,-169.460486701578
39838,-197.404303377442,-191.546383211589,-201.745247845251
39839,-186.766749996257,-186.139299947653,-180.772638454864
39840,-11.3263229797263,-9.46362270910055,-12.023553259256
39841,-25.3389843598582,-31.5049931350308,-33.2956407885065
39842,0.744299240394258,3.20999784576221,4.43198653354298
39843,-19.8176860886439,-18.7990650037294,-24.7498286768385
39844,-20.3421492223445,-21.6747697524949,-25.1202235653589
39845,-10.5422496350324,-7.87915940818195,-13.8735641357905
39846,-10.2306170308283,-7.28843106916854,-9.85514088605792
39847,-28.1721650859434,-30.9057364345697,-31.765336574736
39848,-8.4420376774363,-5.82929400989246,-9.91266588784805
39849,-12.7741171326032,-9.77648427562449,-10.7396473989443
39850,-22.305069133278,-26.4374842437549,-22.035777277219
39851,-88.2302347658365,Inf,-105.738033067794
39852,-94.9590355383502,Inf,-115.489864336679
39853,-82.428910482907,Inf,-99.5423128796717
39854,-85.9374028389117,Inf,-105.640586470105
39855,-94.4981961406102,Inf,-113.297711212411
39856,-76.1994040834609,Inf,-96.5108394040404
39857,-83.4592198337381,Inf,-103.444692227637
39858,-73.8834927579549,Inf,-93.7760951219788
39859,-103.762429219919,Inf,-121.721046409163
39860,-87.1341736389391,Inf,-105.439180198464
39861,-85.6994875102243,Inf,-102.513015109635
39862,-87.0516869122666,Inf,-107.223444912003
39863,-49.8779895451904,Inf,-64.240386162125
39864,-48.4465869580501,Inf,-68.0773111492329
39865,-61.2445127047958,Inf,-76.8864977281541
39866,-48.83124293426,Inf,-67.1220945612017
39867,-56.7488797801682,Inf,-76.9109193122448
39868,-72.2872539011432,-42.4208354598013,-80.084338775051
39869,-57.0371303902385,-32.2460312206338,-68.5769448092469
39870,-72.1179468696269,-42.1691291202759,-78.613924010539
39871,-52.8524330578981,-33.4146046689944,-64.1484220941689
39873,-82.7894866390939,-54.3679029769818,-90.5717023563566
39874,-73.4760077931611,-43.7150684906613,-82.3058757323661
39875,-57.6530828451878,-33.5269158215161,-69.5745342624586
39876,-55.9084383653766,-27.6467724159729,-64.254237858563
39877,-60.4822951794826,-33.7763694402564,-67.3607978720035
39878,-87.6455053571088,-57.6752669165005,-97.2175875535991
39879,-76.7863884691598,-48.7645145131312,-91.9356418107944
39880,-64.0058749603711,-35.1380939572383,-75.9809651145895
39881,-67.554057413983,-40.3272952593073,-79.6676667836788
39882,-63.7139572729331,-36.0878541341419,-76.2787008060536
39883,-875.17427360529,-879.389982080188,-846.009240859655
39884,-78.0586164304378,Inf,-95.2265532436356
39885,-92.2048007650727,-67.0503885640112,-103.345447236936
39886,-84.9123693028977,Inf,-94.8255146714798
39887,-71.4036443967113,Inf,-90.5067393470107
39888,Inf,-Inf,-51.1500816931043
39889,Inf,-Inf,-53.2052815920534
39890,-80.3112048069109,-50.8258664466186,-85.8156958394878
39891,-73.0598121946328,-51.3697750873796,-85.859600999418
39892,-276.862397104938,-281.811355840316,-254.588799503565
39893,-283.21584234657,-281.012056474606,-273.996537505755
39894,-92.8800642022999,-86.1668276444688,-108.196443699041
39895,-110.561084326241,-106.23914903614,-117.159721016727
39896,-114.07613671274,-104.863638723527,-115.071435840505
39897,-114.609193835047,-105.771183259624,-119.480051944566
39898,-136.048161062696,-127.618739696727,-129.175538723523
39899,-122.760538612602,-113.535711673711,-117.596686216512
39900,-123.251461850527,-118.509948521368,-128.169741095486
39901,-115.980073717289,-108.113053826963,-104.234966787243
39902,-105.347070610787,-96.1901786916861,-111.341026678954
39903,-102.487362183602,-93.359276113492,-108.373957491541
39904,-119.381141877445,-110.063922096243,-119.530460379522
39905,-112.880446598166,-103.755051956371,-118.06143882242
39906,-120.033286426959,-112.389917540927,-127.822756637217
39907,-182.676769346847,-183.460188770594,-181.692539506582
39908,-137.170160407701,-132.821518866992,-152.861166492933
39909,-133.795063650391,-131.788607728257,-143.148842177864
39910,764.796057911828,765.024939382732,761.363200331712
39911,777.498597984552,779.41350610225,780.342220197785
39912,-93.2707204579906,-112.628115583619,-80.8565717497328
39913,Inf,-Inf,-57.5780259467963
39914,51.1660378723551,56.3993344462227,43.3370007521385
39915,-68.9836439506832,-66.0114628602033,-76.8632234024426
39916,-10.7100062746151,-13.8079571375015,-24.0821365791942
39917,-56.4695711122276,Inf,-73.5839908211318
39918,-79.1744060452293,-72.0777663267103,-61.0468490136276
39919,-52.53652048034,Inf,-72.0430868106334
39920,-43.1665687394551,Inf,-61.984329266261
39921,-39.6654254775771,Inf,-49.4773175066687
39922,-37.4482538370185,Inf,-57.2756622522965
39923,-41.2145925545405,Inf,-63.9758618677062
39924,-129.963220231393,-115.67886313213,-141.412262860851
39925,-57.102830551481,-57.3362269801172,-56.8571648248834
39926,-93.1150156045106,Inf,-98.0081668993892
39927,-81.1003824810584,Inf,-96.1152191144348
39928,-80.8737817424084,Inf,-93.0060936324214
39929,-77.6963076102966,Inf,-94.0426169107996
39931,-102.491938852951,-77.3046833350804,-112.943435073551
39932,-66.3495176451901,-67.531774075192,-64.0368518626836
39933,-244.970360650714,-247.739853567035,-251.781696001346
39934,243.341598869502,231.294369147823,230.172907780194
39935,-129.832954065369,-122.41301639092,-138.135874401594
39936,-80.6025591500313,-56.21595445648,-90.6518427122041
39937,-114.159117097292,Inf,-139.121527192722
39938,-116.026064221033,Inf,-151.13368821934
39939,-339.685323889999,-337.149048715644,-340.079585157475
39940,-1388.93647742435,-1402.11262078173,-1418.71553500197
39941,-76.0131748873377,-70.6907922579046,-74.1298571668173
39942,-120.873121923565,-118.260065703385,-121.664056954008
39943,-53.9387090133689,-49.4958445339964,-51.7423871760869
39944,-47.5770276543349,-71.7026920198032,-68.2118045889234
39945,-71.450955898118,Inf,-86.4787426702342
39946,-74.3064066632186,Inf,-82.6737808002908
39947,-222.98009917806,-217.806260705146,-226.381993366098
39948,10.8431609765986,Inf,-2.50483960467059
39949,0.97450267733138,Inf,-19.8339988434257
39950,4.77928426041743,Inf,-5.03679068790639
39951,-102.97275360376,-93.853590657217,-102.113404192512
39952,-103.995696778105,-98.4330907645297,-91.5503810958767
39953,-70.6638952004732,Inf,-91.9026838375732
39954,-104.750231683936,-76.2499401506689,-113.45233092735
39955,-114.217330586663,-101.900869104072,-120.090038806464
39956,-109.506833596299,-101.531618386359,-113.321985335617
39957,-108.463293062436,-94.8187867908212,-114.511748741697
39958,-114.702153607127,-109.66784266559,-117.572338474227
39959,-108.693083825081,-94.9422340197934,-115.681584281576
39960,-112.671651600144,-94.6386700019003,-114.748859934856
39961,-122.83534982346,-94.7228685918684,-128.759378682903
39962,-55.525916848983,-29.9287046525615,-63.5291467549286
39963,-92.1643463937446,-88.6945271122176,-102.205144856977
39964,-16.3555629619602,Inf,-35.5380224735138
39965,-13.8452494648282,-7.18221022993445,-17.2682201371827
39966,-17.9633925034135,-12.6053629642577,-26.1766629183553
39967,Inf,-Inf,-8.94427957404612
39968,20.5100102148466,Inf,2.05346103908677
39969,21.8263931422035,Inf,-9.31847172871571
39970,14.5215502696085,Inf,-5.41884933456862
39971,30.1336180268949,Inf,6.8864725563022
39972,14.1431672125533,17.5831904547733,8.87758465669081
39973,61.9891841089249,82.3172773980734,49.9589544909685
39974,94.9919272955401,124.856271214361,93.3347706428817
39975,90.1690160604509,108.39018743197,81.0824730293114
39976,125.876834760148,128.717684719001,116.150447687008
39977,-29.1351358880693,-17.8816141811905,-33.5770903703312
39978,-6.59633624641684,7.39115862080548,-9.58412626902529
39979,-18.6909620707939,9.91428316947558,-24.388998577018
39980,-0.0392212923151618,29.4253910484468,-6.16919585897313
39981,-115.031773483418,-85.7566359077252,-123.44545777693
39982,-65.1424705281475,-58.2712606191641,-70.7674478016198
39983,-290.638667433511,-285.616412553186,-294.483782766343
39984,-92.6123159475641,-71.9695977099874,-100.259758807686
39985,Inf,-Inf,-70.1412556403723
39986,Inf,-Inf,-79.9039225182722
39987,-142.056380984726,-144.278641471588,-141.14691389618
39988,-90.8790024828589,-88.7349995130827,-92.3970373672036
39989,-157.065504495885,-148.397036885056,-158.68589021842
39990,-152.910572953419,-150.047900387611,-155.613380618489
39991,-167.862985265714,-161.344401845098,-177.17438282653
39992,20.2068680641827,25.2840076080812,15.1634897363287
39993,-106.688171913663,-87.266319452415,-108.390665429389
39994,-150.742243244224,-141.602884643624,-154.609003961851
39995,-140.783356241077,-131.483121916388,-146.02819100121
39996,-141.476750990401,-132.830805303708,-145.65729551436
39997,-132.847791202879,-124.163444594644,-131.019279496782
39998,-10.2751260252599,-22.2609587542119,-24.5592298113989
39999,-1.38618726034806,-7.3099168391267,-11.9342823667783
40000,-1.89371993267067,5.73969910178654,-0.369329028247618
40001,-18.922790101655,-45.6445735025956,1.60482811377472
40002,-120.044160169367,-111.17719801822,-120.983810987859
40003,-112.938725052374,-100.759548144094,-116.729659936611
40004,-138.622595757394,-136.009056737,-139.320443777997
40005,-124.257714046295,-129.185955224825,-127.003119091944
40006,-139.3977487669,-138.503692062774,-147.621885852544
40007,-135.88084530144,-132.567582562632,-132.72630152337
40008,-84.7230976835743,-75.4170806218804,-87.1360256323225
40009,-123.324846641415,-124.91871990278,-127.393862168689
40010,75.8702686858178,95.6582700235141,69.8269974031736
40011,-75.3124108593587,Inf,-88.0864685100003
40012,Inf,-Inf,-67.2470588900971
40013,-13.8998448697296,-7.96867453189331,-28.4213928334221
40014,-9.56691781924326,0.460089618410979,-15.2441596357103
40015,Inf,-Inf,-5.94079725349162
40016,Inf,-Inf,-6.60442165707457
40017,-400.403322665404,-398.054467520403,-395.026892511809
40018,-431.200239245434,-430.485301052004,-433.022922007635
40019,-388.174959960379,-388.033305751348,-385.120823963519
40020,-385.44164328165,-384.669322221325,-388.136856740435
40021,-287.03734537429,-283.78048577218,-289.589326535874
40022,-321.897103198539,-322.952840078201,-324.138757355189
40023,-86.8881454479448,-82.4705269306682,-74.7580199259771
40024,-76.4758943921463,-82.6495929110851,-81.0186640820614
40025,-127.004609303518,-127.252277187055,-128.387615406373
40026,-64.4573547506707,-51.4791192598568,-70.57944823115
40027,-83.4352306878815,-77.4771008033522,-82.5178699976228
40028,-55.1486982786869,-47.4089347756281,-55.085440773184
40029,-101.874603296023,-96.3229111705952,-105.892812810142
40030,-48.3291530883208,-23.957419703545,-55.9847190109738
40031,-151.170049016813,-146.944626833381,-149.94969683733
40032,-122.695892945455,-108.732473151557,-123.654700929398
40033,-115.831103662785,-114.313908216977,-110.291823716499
40034,-336.386045013858,-331.843699602922,-335.275233286712
40035,245.511652638037,244.763485484094,245.880933743485
40036,338.29194956365,341.06799550211,335.612700055467
40037,174.28947808868,176.263878336296,173.381719845626
40038,-58.9337749998526,-66.9333779191243,-69.6884062872948
40039,-69.3460978251498,-79.8128270896007,-81.3173881729449
40042,-910.839686308107,-915.698080037557,-915.399743944874
40043,-996.896840448642,-994.854503006704,-998.698819595502
40044,-5.85808975457286,Inf,-25.4195860906581
40045,-216.375274485261,-213.633253944629,-217.671315689101
40046,-173.60286066352,-171.76246777774,-172.603644824722
40047,-1169.56734253587,-1167.99647002125,-1169.31280064659
40048,-1009.29221820331,-1007.41282343046,-1009.53737295351
40049,-725.031550450895,-722.646810364535,-726.757196081285
40050,110.616101874116,112.255534398492,113.741004180298
40051,80.5389415833812,79.5104937579836,77.8130840717473
40052,-1290.82946928287,-1290.69300438555,-1272.14404758793
40053,-1306.63253841982,-1311.11843352749,-1282.36007137504
40054,-1252.44750684859,-1250.21140556424,-1250.7450115152
40055,-1315.67682433636,-1316.9193089403,-1317.86894696737
40056,-75.0968101843905,Inf,-92.2516011744951
40057,-86.7391479273217,-56.9402185596488,-88.0300565858643
40058,Inf,-Inf,-39.0540423576002
40059,-130.10309040764,-128.238047790715,-135.131942183732
40060,-51.5562229799664,Inf,-70.1526010425906
40061,-119.283317927381,-111.403562226501,-128.748445382698
40062,-129.926207463216,-122.327636517206,-133.884896010275
40063,-446.696519034107,-443.647967626811,-446.493086923267
40064,-186.488337332213,-183.435195645482,-184.651100030534
40065,-246.379128938394,-243.344464918196,-248.989102183683
40066,-124.383415643419,-122.633726307314,-125.410285617287
40067,-194.466624288053,-191.94858294184,-196.968017882572
40068,-40.6699233560665,-23.9544994463229,-36.0868433433515
40069,-35.6637137873918,-6.82174659151894,-29.42561292863
40070,-14.0163380487224,9.42555754119815,-24.3964265643189
40071,-10.3720116054792,1.8572576722593,-23.3149163412316
40072,-15.9050068390021,13.9881468669327,-22.7151169402584
40073,-7.38184819488064,13.449775925183,-21.2250260943389
40074,-14.090371601463,9.62534372830212,-24.0752864974759
40075,-26.9773513014495,2.42945206984874,-32.2300595126925
40076,-12.4375384252236,15.91060317551,-24.0124282325195
40077,-57.2953785510643,-41.2700841188631,-68.2431678641935
40078,-56.7259407739702,-27.0940136685499,-56.736918118762
40079,-44.5631379712637,-17.4272423579939,-51.5704884839219
40080,-35.4714827580422,-9.38661232493528,-47.770368215434
40081,-39.5980655690814,-17.8278156833987,-54.5009198734289
40082,-27.2264964441345,-12.2454927689906,-42.3770471947563
40083,-44.6440756104624,-16.0529920557083,-36.6539856994532
40084,-31.424103932654,-3.9551392272495,-37.698963882512
40085,-26.368659749176,-4.99769884268998,-40.2030166820894
40086,-30.7848432271915,-8.02154074464465,-46.4524332308385
40087,-43.8680487482918,-13.8720595919409,-46.1644380397867
40088,-67.7877060593195,-38.1152369433345,-73.7622584169609
40089,-58.2781784761995,-29.3688011874602,-66.0110329773798
40090,-58.9875875413965,-29.267022328981,-67.6769949593641
40091,-58.9424713630919,-29.3087324961179,-64.6817068857652
40092,-58.428371643987,-30.1001042642077,-67.4927466725014
40093,-61.6101083434236,-36.2226676234373,-70.9877145868443
40094,-57.5118806241756,-28.9194590587056,-65.5011219674446
40095,-54.6525456753629,-39.6204144605635,-63.4789881890174
40096,-69.8290583422528,-46.1813608213139,-73.9973475195172
40097,-73.4080245749833,-47.4699578159573,-79.6951603003729
40098,-476.738280650819,-476.37646752373,-478.671519736959
40099,-719.616724507709,-718.541848032633,-712.906476836667
40100,-801.477061874275,-799.512630989078,-803.462005418753
40101,-1440.00192283705,-1437.86335395379,-1441.64142918254
40102,22.0746264146045,24.2284685274805,46.7787036237732
40103,-158.204005799039,-150.858905793,-163.322225236235
40104,-175.828595152017,-166.505611530072,-180.264725215351
40105,-120.151181269103,-92.9934235165205,-116.279539120784
40106,-85.1681162923877,Inf,-103.497447992156
40107,-127.250647774322,Inf,-125.922089543347
40108,-406.880704506258,-407.317916417581,-410.380424000572
40109,-505.43930968024,-506.388857589963,-506.372506831771
40110,-541.020617303195,-541.065078088067,-542.906752414622
40111,-61.7023654973454,-34.5111382111931,-69.5365759205063
40112,23.325648833272,Inf,4.2574574259135
351,-1.11061961522479,-8.79213945587988,15.5570759038793
814,-126.120158352167,-120.803494247773,-128.397291795367
71,-78.554090600971,-50.186146826105,-87.6087135600261
445,Inf,-Inf,-70.0410506902833
3,Inf,-Inf,-66.2956964992136
2,Inf,-Inf,-57.9851520437151
450,-112.767613301762,-95.5140991546901,-123.926505098617
140,-20.5641666734528,8.32427985761542,-28.0879740442558
79,-175.970428394675,-170.0774025555,-173.170397444726
713,-531.409126079517,-531.331606886557,-536.105525994762
708,-59.0521937790885,Inf,-83.3738492731756
920,11.1479756597672,36.7050547437417,-7.94297439346424
721,-124.572567885636,-107.227633730556,-140.426005135913
687,-1128.24021652634,-1133.91329942857,-1126.72215433952
691,-1066.80538388324,-1064.53812686005,-1068.86973730934
6,-525.554353085884,-523.408990962235,-527.597968457483
695,-51.9516973393348,Inf,-71.6652099588956
40114,-56.8445741232972,Inf,-75.6221835337178
40115,-2.68386034156291,25.1474490901248,-15.76857256467
40116,2.74041546512393,30.552287934763,-8.57008268757265
40117,0.143596628129345,30.0754306393512,-9.09217847033501
40118,-11.9756878636981,17.954999493875,-21.9555129175784
40119,-8.81019052929373,20.2652598012373,-17.9430395492325
40120,-9.03347726507987,18.1016538640727,-11.6406547472408
40121,-36.4739320673302,-11.7659203585337,-46.0846751898613
40122,-565.112359410763,-563.058376914545,-562.899025026424
40123,-37.7412591204888,-12.4932447680146,-52.7417160828606
40124,-49.2802517106973,-20.5748075150155,-59.9061352397588
40125,-434.220608392918,-431.832927989338,-432.025034681277
40126,-401.168296787787,-412.622566960569,-399.176606851932
40127,-301.543086470951,-298.673818417892,-305.274367530265
40128,-8.27422254852809,5.59157734606336,-12.3449606540329
40129,-1.5012036545343,7.66469658713722,-5.77757774984571
40130,23.8022965160235,Inf,-19.6243091883057
