"ID","BIC_lm2","BIC_lm3","BIC_HollT2"
39835,-100.478406446341,-98.3989649046609,-100.161208127518
39836,-179.520347305995,-190.641086828868,-194.523612682235
39837,-168.053401265799,-167.15670264752,-170.569602229875
39838,-200.496548098459,-198.336042839613,-202.854363373549
39839,-189.858994717275,-192.928959575676,-181.881753983161
39840,-7.32576616435797,-4.41986953592128,-9.22015174598013
39841,-20.846916808394,-25.7618159793247,-30.1842861287821
39842,4.52338081424274,7.93612959939927,7.09761080858175
39843,-16.8210725581183,-15.2093773978112,-22.5654196564881
39844,-15.7607193148628,-15.8051723604425,-21.9525766364845
39845,-8.20808814398851,-5.27220724468491,-12.0888850465232
39846,-8.08729227777769,-4.96867642767416,-8.18415245419962
39847,-24.7590923613768,-26.7082491550906,-29.3259335943372
39848,-5.92826734568884,-2.95379071041966,-8.02036878356619
39849,-11.0523145253153,-8.0983945247308,-9.31726919016416
39850,-21.0717521957787,-25.516871184232,-20.8968993188862
39851,-113.401921028534,-115.252077022987,-112.519157242926
39852,-120.130721801048,-127.197187089201,-122.270988511811
39853,-107.600596745605,-109.073234914513,-106.323437054804
39854,-111.109089101609,-110.698725024189,-112.421710645237
39855,-119.669882403308,-118.975382608819,-120.078835387543
39856,-101.371090346159,-118.531507175305,-103.291963579172
39857,-108.630906096436,-116.797875393019,-110.225816402769
39858,-99.0551790206526,-98.7966891014692,-100.557219297111
39859,-128.934115482617,-128.679522527515,-128.502170584295
39860,-112.305859901637,-123.773341995764,-112.220304373595
39861,-110.871173772922,-111.417995056334,-109.294139284767
39862,-112.223373174964,-119.363674527069,-114.004569087135
39863,-75.0496758078881,-78.323494648564,-71.0215103372568
39864,-73.6182732207478,-86.4271969034574,-74.8584353243647
39865,-86.4161989674935,-87.7039453301114,-83.6676219032859
39866,-74.0029291969577,-73.150886285326,-73.9032187363335
39867,-81.9205660428659,-102.848150071198,-83.6920434873766
39868,-84.9119754934591,-83.2537975828891,-84.5008198365949
39869,-69.6618519825543,-73.0789933437216,-72.9934258707908
39870,-84.7426684619428,-83.0020912433637,-83.0304050720829
39871,-65.4771546502139,-74.2475667920822,-68.5649031557128
39873,-95.4142082314097,-95.2008651000695,-94.9881834179005
39874,-86.1007293854769,-84.5480306137491,-86.72235679391
39875,-70.2778044375037,-74.3598779446039,-73.9910153240025
39876,-68.5331599576924,-68.4797345390607,-68.6707189201069
39877,-73.1070167717984,-74.6093315633442,-71.7772789335474
39878,-100.270226949425,-98.5082290395883,-101.634068615143
39879,-89.4111100614756,-89.597476636219,-96.3521228723383
39880,-76.6305965526869,-75.971056080326,-80.3974461761334
39881,-80.1787790062988,-81.1602573823951,-84.0841478452226
39882,-76.3386788652489,-76.9208162572297,-80.6951818675975
39883,-869.95994371944,-872.630778947364,-842.440513997735
39884,-103.230302693135,-125.490726106908,-102.007677418767
39885,-104.829522357389,-107.883350687099,-107.76192829848
39886,-110.084055565595,-122.234791016838,-101.606638846612
39887,-96.575330659409,-95.0022745075671,-97.2878635221425
39888,-63.7929752521795,-Inf,-64.3774929708645
39889,-66.9274237629423,-Inf,-66.4326928698137
39890,-92.9359263992267,-91.6588285697064,-90.2321769010317
39891,-85.6845337869486,-92.2027372104674,-90.2760820609619
39892,-275.629080167438,-280.890742780793,-253.449921545232
39893,-282.259012787167,-280.527492519945,-273.015793989963
39894,-101.042333755134,-106.383187048248,-111.304623400931
39895,-116.322759701201,-119.254716202754,-119.400837933368
39896,-119.837812087701,-117.879205890141,-117.312552757145
39897,-120.370869210008,-118.786750426238,-121.721168861207
39898,-141.809836437656,-140.634306863341,-131.416655640163
39899,-128.522213987563,-126.551278840325,-119.837803133153
39900,-129.013137225488,-131.525515687982,-130.410858012126
39901,-121.741749092249,-121.128620993577,-106.476083703883
39902,-111.108745985747,-109.2057458583,-113.582143595594
39903,-108.249037558563,-106.374843280106,-110.615074408182
39904,-125.142817252406,-123.079489262857,-121.771577296162
39905,-118.642121973127,-116.770619122985,-120.302555739061
39906,-125.79496180192,-125.405484707541,-130.063873553857
39907,-180.736975320105,-181.448960133631,-180.142033547234
39908,-142.931835782661,-145.837086033606,-155.102283409573
39909,-139.556739025352,-144.804174894871,-145.389959094504
39910,769.196029607503,770.637600056331,764.416634915615
39911,782.080027892034,785.283103494302,783.509867126659
39912,-99.0323958329511,-125.643682750233,-83.0976886663731
39913,-96.323174693982,-Inf,-70.8054372245565
39914,48.9311522621788,51.3242488707495,42.6327912977353
39915,-70.5289240013192,-69.786121975337,-77.2267434361999
39916,-18.8722758274492,-34.0243165412802,-27.1903162810836
39917,-81.6412573749253,-83.9565489352172,-80.3651149962636
39918,-83.3827323132206,-81.2888680173654,-62.6523998589552
39919,-77.7082067430377,-79.4896114561156,-78.8242109857652
39920,-68.3382550021528,-70.025227939686,-68.7654534413928
39921,-64.8371117402748,-63.5651163678813,-56.2584416818005
39922,-62.6199400997162,-61.0469352542993,-64.0567864274282
39923,-66.3862788172382,-78.5372521972085,-70.756986042838
39924,-142.587941823709,-156.511825255217,-145.828743922395
39925,-53.1022737361127,-52.2924738069379,-54.0537633116075
39926,-118.286701867208,-119.581087124636,-104.789291074521
39927,-106.272068743756,-104.784046581076,-102.896343289567
39928,-106.045468005106,-106.912989818545,-99.7872178075532
39929,-102.867993872994,-106.187904181862,-100.823741085931
39931,-115.116660445267,-118.137645458168,-117.359916135095
39932,-62.6875811676872,-62.9743152578975,-61.4438367397506
39933,-244.316874464699,-247.740333524144,-250.972412170376
39934,244.298428428905,231.778933102485,231.153651295987
39935,-137.995223618203,-142.629375794699,-141.244054103483
39936,-93.2272807423471,-97.0489165795678,-95.0683237737479
39937,-139.33080335999,-153.100456454292,-145.902651367854
39938,-141.197750483731,-156.873710335865,-157.914812394471
39939,-336.145259038743,-332.767586585927,-337.561906455324
39940,-1382.10618699401,-1393.11784757637,-1414.10732588846
39941,-80.221501155329,-79.9018939485597,-75.7354080121448
39942,-118.933327896823,-116.248837066423,-120.11355099466
39943,-55.4839890640048,-53.2705036491301,-52.1059072098442
39944,-45.242866163291,-69.0957398563062,-66.4271254996561
39945,-96.6226421608157,-99.737532976111,-93.259866845366
39946,-99.4780929259163,-103.13855427454,-89.4549049754226
39947,-225.214984788237,-222.881346280619,-227.086202820502
39948,-14.3285252860991,-13.1606645310703,-9.28596377980239
39949,-24.1971835853663,-23.126515547026,-26.6151230185575
39950,-20.3924020022803,-19.4813926205367,-11.8179148630382
39951,-115.597475196076,-134.686552780305,-106.529885254056
39952,-116.62041837042,-139.266052887617,-95.9668621574206
39953,-95.8355814631709,-96.9793781030705,-98.6838080127049
39954,-117.374953276252,-117.082902273757,-117.868811988894
39955,-122.379600139497,-122.117228507851,-123.198218508353
39956,-117.669103149133,-121.747977790138,-116.430165037506
39957,-116.62556261527,-115.0351461946,-117.619928443586
39958,-122.864423159962,-129.884202069369,-120.680518176116
39959,-116.855353377915,-115.158593423572,-118.789763983466
39960,-125.296373192459,-135.471632124988,-119.1653409964
39961,-135.460071415776,-135.555830714956,-133.175859744447
39962,-68.1506384412989,-70.7616667756492,-67.9456278164725
39963,-95.2565911147624,-95.4841867402414,-103.314260385274
39964,-41.5272492246579,-45.698031055612,-42.3191466486456
39965,-18.0535757328196,-16.3933119205896,-18.8737709825103
39966,-21.0556372244313,-19.3950225922816,-27.2857784466529
39967,-16.7505540941115,-Inf,-22.1716908518063
39968,-4.66167604785114,-10.390494420094,-4.72766313604503
39969,-3.34529312049416,-27.8554463512352,-16.0995959038475
39970,-10.6501359930892,-15.0983579592257,-12.1999735097004
39971,4.96193176419716,-7.21616996767489,0.105348381170404
39972,13.6603392013991,15.6949753287899,9.06479022501224
39973,49.3644625166091,41.4843152749857,45.5424734294246
39974,82.3672057032243,84.0233090912728,88.9182895813378
39975,77.544294468135,67.5572253088822,76.6659919677675
39976,117.714565207314,108.501325315222,113.042267985119
39977,-37.2974054409033,-38.0979735849692,-36.6852700722206
39978,-14.7586057992509,-12.8252007829733,-12.6923059709147
39979,-31.3156836631097,-30.9186789536122,-28.8054796385619
39980,-12.663942884631,-11.407571074641,-10.585676920517
39981,-127.656495075734,-126.589598030813,-127.861938838474
39982,-69.3507967961388,-67.4823623098192,-72.3729986469474
39983,-292.873553043687,-290.691498128659,-295.187992220747
39984,-105.23703753988,-112.802559833075,-104.67623986923
39985,-84.0922313776246,-Inf,-83.3686669181326
39986,-92.07452680303,-Inf,-93.1313337960325
39987,-141.099551425323,-143.794077516927,-140.166170380388
39988,-89.157199875571,-87.056909762189,-90.9746591584234
39989,-162.827179870845,-161.41260405167,-160.927007135061
39990,-158.67224832838,-163.063467554225,-157.854497535129
39991,-173.624660640675,-174.359969011712,-179.415499743171
39992,15.9985417961914,16.072905917426,13.5579388910012
39993,-119.312893505979,-128.099281575503,-112.807146490933
39994,-156.503918619184,-154.618451810238,-156.850120878491
39995,-146.545031616037,-144.498689083002,-148.269307917851
39996,-147.238426365361,-145.846372470322,-147.898412431
39997,-138.60946657784,-137.179011761258,-133.260396413423
39998,-16.0368014002204,-35.2765259208259,-26.8003467280393
39999,-7.14786263530855,-20.3254840057407,-14.1753992834186
40000,-7.65539530763116,-7.27586806482745,-2.61044594488795
40001,-24.6844654766155,-58.6601406692096,-0.636288802865605
40002,-128.206429722201,-131.393557421999,-124.091990689749
40003,-121.100994605208,-120.975907547872,-119.8378396385
40004,-140.16787580803,-139.783715852134,-139.683963811754
40005,-125.802994096931,-132.960614339959,-127.366639125701
40006,-140.943028817536,-142.278351177908,-147.985405886302
40007,-137.426125352076,-136.342241677766,-133.089821557128
40008,-90.4847730585348,-88.4326477884944,-89.3771425489628
40009,-124.870126692051,-128.693379017914,-127.757382202446
40010,63.245547093502,54.8253079004264,65.4105163416297
40011,-100.484097122056,-120.745350706494,-94.8675926851321
40012,-98.8597777051488,-Inf,-80.4744701678574
40013,-19.66152024469,-20.9842416985073,-30.6625097500625
40014,-17.7291873720773,-19.7562697853678,-18.3523393375997
40015,-19.6487235203941,-Inf,-19.1682085312518
40016,-12.9951553747591,-Inf,-19.8318329348348
40017,-397.406709134879,-394.464779914485,-392.842483491458
40018,-427.787166520868,-426.287813772525,-430.583519027236
40019,-385.491579437223,-384.905681504024,-383.126370017911
40020,-382.597610944506,-381.30415657549,-386.045183008426
40021,-285.804028436791,-282.859872712657,-288.450448577542
40022,-320.66378626104,-322.032227018678,-322.999879396856
40023,-95.0504150007788,-102.686886334447,-77.8661996278665
40024,-84.6381639449804,-102.865952314864,-84.1268437839508
40025,-129.239494913694,-132.327362762528,-129.091824860776
40026,-72.6196243035048,-71.6954786636356,-73.6876279330394
40027,-87.6435569558728,-86.6882024940073,-84.1234208429504
40028,-63.3109678315209,-67.6252941794069,-58.1936204750734
40029,-104.966848017041,-103.112570798619,-107.00192833844
40030,-60.9538746806366,-64.7903818266328,-60.4012000725177
40031,-154.262293737831,-153.734286461404,-151.058812365627
40032,-130.858162498289,-128.948832555336,-126.762880631287
40033,-111.249673755303,-108.444310824925,-107.124176787625
40034,-338.620930624034,-336.918785178396,-335.979442741115
40035,248.025422969785,247.638988783567,247.773230847767
40036,340.626111054694,343.674947665607,337.397379144735
40037,176.011280695968,177.94196808719,174.804098054406
40038,-55.2718385223498,-62.3759191018298,-67.0953911643619
40039,-65.5670162513013,-75.0866953359636,-78.6517638979061
40042,-903.693390150387,-906.270660490487,-910.586246786505
40043,-989.750544290922,-985.427083459634,-993.885322437133
40044,-31.0297760172706,-39.9561657720609,-32.2007102657899
40045,-213.531242148118,-210.268088298793,-215.579641957093
40046,-171.45953591047,-169.442713136246,-170.932656392863
40047,-1163.04379029938,-1159.42286755078,-1164.90331033572
40048,-1002.86238752741,-998.968164528357,-1005.18848378767
40049,-719.963401963626,-716.092238879043,-723.281460726136
40050,119.309670003441,123.786871825978,119.566327360249
40051,88.2631988714775,89.7263351586137,83.0033577132388
40052,-1284.44761992036,-1282.31440803274,-1267.82616158144
40053,-1300.2506890573,-1302.73983717468,-1278.04218536855
40054,-1246.06565748608,-1241.83280921143,-1246.42712550871
40055,-1309.29497497385,-1308.54071258749,-1313.55106096088
40056,-100.268496447088,-103.763111852894,-99.0327253496269
40057,-99.3638695196375,-97.7731806827366,-92.4465376474082
40058,-57.0078795655635,-Inf,-52.2814536353604
40059,-134.311416675632,-137.44914948137,-136.737493029059
40060,-76.7279092426641,-78.3274391352123,-76.9337252177224
40061,-125.044993302342,-124.419129393115,-130.989562299339
40062,-135.687882838176,-135.34320368382,-136.126012926915
40063,-446.043032848092,-443.64844758392,-445.683803092298
40064,-185.834851146199,-183.43567560259,-183.841816199565
40065,-244.657326331106,-241.666375167303,-247.566723974903
40066,-124.0656494767,-123.179735054719,-124.788185095884
40067,-191.952853956306,-189.073079642367,-195.075720778291
40068,-53.2946449483823,-64.7874615694107,-40.5033244048954
40069,-48.2884353797076,-47.6547087146067,-33.8420939901738
40070,-26.6410596410382,-31.4074045818896,-28.8129076258628
40071,-22.9967331977951,-38.9757044508285,-27.7313974027754
40072,-28.529728431318,-26.8448152561551,-27.1315980018023
40073,-20.0065697871965,-27.3831861979047,-25.6415071558828
40074,-26.7150931937788,-31.2076183947857,-28.4917675590198
40075,-39.6020728937653,-38.403510053239,-36.6465405742364
40076,-25.0622600175394,-24.9223589475778,-28.4289092940634
40077,-69.9201001433801,-82.1030462419509,-72.6596489257374
40078,-69.350662366286,-67.9269757916377,-61.1533991803059
40079,-57.1878595635796,-58.2602044810817,-55.9869695454658
40080,-48.096204350358,-50.2195744480231,-52.1868492769779
40081,-52.2227871613972,-58.6607778064865,-58.9174009349728
40082,-39.8512180364503,-53.0784548920784,-46.7935282563002
40083,-57.2687972027783,-56.8859541787961,-41.070466760997
40084,-44.0488255249698,-44.7881013503373,-42.1154449440559
40085,-38.9933813414918,-45.8306609657778,-44.6194977436333
40086,-43.4095648195074,-48.8545028677324,-50.8689142923823
40087,-56.4927703406077,-54.7050217150286,-50.5809191013306
40088,-80.4124276516354,-78.9481990664222,-78.1787394785048
40089,-70.9029000685153,-70.201763310548,-70.4275140389237
40090,-71.6123091337124,-70.0999844520687,-72.093476020908
40091,-71.5671929554078,-70.1416946192057,-69.098187947309
40092,-71.0530932363028,-70.9330663872955,-71.9092277340453
40093,-74.2348299357395,-77.0556297465251,-75.4041956483882
40094,-70.1366022164914,-69.7524211817933,-69.9176030289885
40095,-67.2772672676788,-80.4533765836513,-67.8954692505613
40096,-82.4537799345686,-87.0143229444017,-78.4138285810611
40097,-86.0327461672992,-88.3029199390451,-84.1116413619168
40098,-474.404119159775,-473.769515360233,-476.886840647691
40099,-715.216752812034,-712.929187359035,-709.853042252763
40100,-797.0770901786,-793.89997031548,-800.408570834849
40101,-1433.52486565647,-1429.3537044031,-1437.26200998798
40102,29.6725652847159,34.2722839281789,51.8864956778639
40103,-163.965681173999,-163.874472959614,-165.563342152876
40104,-181.590270526978,-179.521178696686,-182.505842131992
40105,-132.775902861419,-133.826385639608,-120.696020182328
40106,-110.339802555085,-113.651164190916,-110.278572167288
40107,-152.42233403702,-158.562055468028,-132.703213718479
40108,-400.858079988101,-399.435032684429,-406.294154547789
40109,-499.057460317728,-498.01026123715,-502.054620825285
40110,-534.543560122617,-532.555428537376,-538.527333220068
40111,-74.3270870896613,-75.3441003342809,-73.9530569820502
40112,-1.84603742942569,-6.64832593681576,-2.5236667492183
351,0.611182992063124,-7.11404970498618,16.9794541126595
814,-130.328484620159,-130.014595938428,-130.002842640695
71,-91.1788121932868,-91.0191089491928,-92.02519462157
445,-87.1339563380341,-Inf,-83.2684619680436
3,-70.3677723815505,-Inf,-79.5231077769738
2,-104.25792113846,-Inf,-71.2125633214753
450,-125.392334894078,-136.347061277778,-128.342986160161
140,-33.1888882657686,-32.5086822654724,-32.5044551057997
79,-179.062673115693,-176.867062183524,-174.279512973023
713,-527.996053354951,-527.134119607078,-533.666123014363
708,-84.2238800417862,-101.511515136691,-90.1549734483073
920,-1.47674593254859,-4.12790737934608,-12.3594554550081
721,-137.197289477952,-148.060595853644,-144.842486197457
687,-1122.38575426824,-1126.26319390696,-1122.74399153087
691,-1060.95092162514,-1056.88802133843,-1064.89157450068
6,-522.014288234627,-519.027528832518,-525.080289755332
695,-77.1233836020325,-79.8064049572854,-78.4463341340274
40114,-82.0162603859949,-92.3806821596944,-82.4033077088496
40115,-15.3085819338787,-15.685513032963,-20.1850536262138
40116,-9.88430612719191,-10.2806741883248,-12.9865637491165
40117,-12.4811249641865,-10.7575314837366,-13.5086595318789
40118,-24.6004094560139,-22.8779626292128,-26.3719939791223
40119,-21.4349121216096,-20.5677023218505,-22.3595206107764
40120,-21.6581988573957,-22.731308259015,-16.0571358087847
40121,-49.098653659646,-52.5988824816215,-50.5011562514052
40122,-561.831844188854,-559.053587387897,-560.541074707544
40123,-50.3659807128047,-53.3262068911024,-57.1581971444044
40124,-61.9049733030132,-61.4077696381033,-64.3226163013027
40125,-432.49880578563,-430.154838238444,-430.602656472497
40126,-399.446494180499,-410.944477209676,-397.754228643152
40127,-301.225320304231,-299.219827165297,-304.652267008862
40128,-16.4364921013621,-14.6247820577154,-15.4531403559223
40129,-7.2628790294948,-5.35087057947677,-8.01869466648603
40130,-1.36938974667424,-9.90440609324527,-26.4054333634375
